assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Dissociation constant for enzyme-inhibitor complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1200970,nM,24700.0,uM,24.7,"{'alogp': '5.02', 'aromatic_rings': 2, 'full_molformula': 'C19H25ClN2S', 'full_mwt': '348.94', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '312.48', 'np_likeness_score': '-1.11', 'num_ro5_violations': 1, 'psa': '6.48', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 5}",4.607303046740334
Dissociation constant for enzyme-inhibitor-substrate complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1200970,nM,12100000.0,uM,12100.0,"{'alogp': '5.02', 'aromatic_rings': 2, 'full_molformula': 'C19H25ClN2S', 'full_mwt': '348.94', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '312.48', 'np_likeness_score': '-1.11', 'num_ro5_violations': 1, 'psa': '6.48', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 5}",1.91721462968355
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex,CHEMBL1759923,CHEMBL1200970,nM,25000.0,uM,25.0,"{'alogp': '5.02', 'aromatic_rings': 2, 'full_molformula': 'C19H25ClN2S', 'full_mwt': '348.94', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '312.48', 'np_likeness_score': '-1.11', 'num_ro5_violations': 1, 'psa': '6.48', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 5}",4.6020599913279625
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex,CHEMBL1759923,CHEMBL1200970,nM,12100000.0,uM,12100.0,"{'alogp': '5.02', 'aromatic_rings': 2, 'full_molformula': 'C19H25ClN2S', 'full_mwt': '348.94', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '312.48', 'np_likeness_score': '-1.11', 'num_ro5_violations': 1, 'psa': '6.48', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 5}",1.91721462968355
Dissociation constant for enzyme-inhibitor complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1669479,nM,5.0,uM,0.005,"{'alogp': '3.08', 'aromatic_rings': 2, 'full_molformula': 'C24H34Cl4N4O2', 'full_mwt': '552.37', 'hba': 2, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '481.47', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '58.20', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 10}",8.301029995663981
Dissociation constant for enzyme-inhibitor-substrate complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1669479,nM,6.0,uM,0.006,"{'alogp': '3.08', 'aromatic_rings': 2, 'full_molformula': 'C24H34Cl4N4O2', 'full_mwt': '552.37', 'hba': 2, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '481.47', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '58.20', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 10}",8.221848749616356
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex,CHEMBL1759923,CHEMBL1669479,nM,5.0,uM,0.005,"{'alogp': '3.08', 'aromatic_rings': 2, 'full_molformula': 'C24H34Cl4N4O2', 'full_mwt': '552.37', 'hba': 2, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '481.47', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '58.20', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 10}",8.301029995663981
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex,CHEMBL1759923,CHEMBL1669479,nM,6.0,uM,0.006,"{'alogp': '3.08', 'aromatic_rings': 2, 'full_molformula': 'C24H34Cl4N4O2', 'full_mwt': '552.37', 'hba': 2, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '481.47', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '58.20', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 10}",8.221848749616356
Inhibition of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL3091342,CHEMBL1669479,nM,5.0,uM,0.005,"{'alogp': '3.08', 'aromatic_rings': 2, 'full_molformula': 'C24H34Cl4N4O2', 'full_mwt': '552.37', 'hba': 2, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '481.47', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '58.20', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 10}",8.301029995663981
Non competitive inhibition of human recombinant AChE using ATChCl as substrate by Lineweaver-Burk plot analysis,CHEMBL3091342,CHEMBL1669479,nM,6.0,uM,0.006,"{'alogp': '3.08', 'aromatic_rings': 2, 'full_molformula': 'C24H34Cl4N4O2', 'full_mwt': '552.37', 'hba': 2, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '481.47', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '58.20', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 10}",8.221848749616356
Dissociation constant for enzyme-inhibitor complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1669486,nM,620.0,uM,0.62,"{'alogp': '5.61', 'aromatic_rings': 4, 'full_molformula': 'C26H30Br2N2', 'full_mwt': '530.35', 'hba': 0, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '370.54', 'np_likeness_score': '-0.01', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 9}",6.2076083105017466
Dissociation constant for enzyme-inhibitor-substrate complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1669486,nM,980.0,uM,0.98,"{'alogp': '5.61', 'aromatic_rings': 4, 'full_molformula': 'C26H30Br2N2', 'full_mwt': '530.35', 'hba': 0, 'hbd': 0, 'heavy_atoms': 28, 'mw_freebase': '370.54', 'np_likeness_score': '-0.01', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 9}",6.008773924307505
Dissociation constant for enzyme-inhibitor complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1669494,nM,1250.0,uM,1.25,"{'alogp': '5.82', 'aromatic_rings': 6, 'full_molformula': 'C30H24Br2N2', 'full_mwt': '572.34', 'hba': 0, 'hbd': 0, 'heavy_atoms': 32, 'mw_freebase': '412.54', 'np_likeness_score': '-0.15', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.32', 'ro3_pass': 'N', 'rtb': 4}",5.903089986991944
Dissociation constant for enzyme-inhibitor-substrate complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL1669494,nM,750.0,uM,0.75,"{'alogp': '5.82', 'aromatic_rings': 6, 'full_molformula': 'C30H24Br2N2', 'full_mwt': '572.34', 'hba': 0, 'hbd': 0, 'heavy_atoms': 32, 'mw_freebase': '412.54', 'np_likeness_score': '-0.15', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.32', 'ro3_pass': 'N', 'rtb': 4}",6.1249387366083
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex,CHEMBL1759923,CHEMBL225577,nM,40.0,uM,0.04,"{'alogp': '6.39', 'aromatic_rings': 4, 'full_molformula': 'C28H34Br2N2', 'full_mwt': '558.40', 'hba': 0, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '398.59', 'np_likeness_score': '-0.04', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 11}",7.3979400086720375
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex,CHEMBL1759923,CHEMBL225577,nM,60.0,uM,0.06,"{'alogp': '6.39', 'aromatic_rings': 4, 'full_molformula': 'C28H34Br2N2', 'full_mwt': '558.40', 'hba': 0, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '398.59', 'np_likeness_score': '-0.04', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 11}",7.221848749616356
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex,CHEMBL1759923,CHEMBL1762003,nM,2300.0,uM,2.3,"{'alogp': '5.82', 'aromatic_rings': 6, 'full_molformula': 'C30H24Br2N2', 'full_mwt': '572.34', 'hba': 0, 'hbd': 0, 'heavy_atoms': 32, 'mw_freebase': '412.54', 'np_likeness_score': '-0.13', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.32', 'ro3_pass': 'N', 'rtb': 4}",5.638272163982407
Inhibition of human erythrocytes recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex,CHEMBL1759923,CHEMBL1762003,nM,8200.0,uM,8.2,"{'alogp': '5.82', 'aromatic_rings': 6, 'full_molformula': 'C30H24Br2N2', 'full_mwt': '572.34', 'hba': 0, 'hbd': 0, 'heavy_atoms': 32, 'mw_freebase': '412.54', 'np_likeness_score': '-0.13', 'num_ro5_violations': 1, 'psa': '7.76', 'qed_weighted': '0.32', 'ro3_pass': 'N', 'rtb': 4}",5.086186147616283
Inhibition of human erythrocytes BChE,CHEMBL1781988,CHEMBL392577,nM,3.5,uM,0.0035,"{'alogp': '7.44', 'aromatic_rings': 5, 'full_molformula': 'C27H17NOS', 'full_mwt': '403.51', 'hba': 2, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '403.51', 'np_likeness_score': '-0.54', 'num_ro5_violations': 1, 'psa': '20.31', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 1}",8.455931955649724
Inhibition of human plasma BChE,CHEMBL1781988,CHEMBL392577,nM,3.5,uM,0.0035,"{'alogp': '7.44', 'aromatic_rings': 5, 'full_molformula': 'C27H17NOS', 'full_mwt': '403.51', 'hba': 2, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '403.51', 'np_likeness_score': '-0.54', 'num_ro5_violations': 1, 'psa': '20.31', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 1}",8.455931955649724
Mixed-type inhibition of human AChE assessed as hydrolysis of acetylthiocholine by Lineweaver-Burk plot analysis,CHEMBL1817594,CHEMBL1819176,nM,1.01,nM,1.01,"{'alogp': '9.36', 'aromatic_rings': 5, 'full_molformula': 'C36H37ClN4', 'full_mwt': '561.17', 'hba': 4, 'hbd': 2, 'heavy_atoms': 41, 'mw_freebase': '561.17', 'np_likeness_score': '-0.64', 'num_ro5_violations': 2, 'psa': '49.84', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 10}",8.995678626217357
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL2011402,nM,34300.0,uM,34.3,"{'alogp': '4.72', 'aromatic_rings': 2, 'full_molformula': 'C26H30O7', 'full_mwt': '454.52', 'hba': 7, 'hbd': 4, 'heavy_atoms': 33, 'mw_freebase': '454.52', 'np_likeness_score': '2.44', 'num_ro5_violations': 0, 'psa': '116.45', 'qed_weighted': '0.45', 'ro3_pass': 'N', 'rtb': 7}",4.464705879957229
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL459258,nM,68200.0,uM,68.2,"{'alogp': '4.72', 'aromatic_rings': 2, 'full_molformula': 'C26H30O7', 'full_mwt': '454.52', 'hba': 7, 'hbd': 4, 'heavy_atoms': 33, 'mw_freebase': '454.52', 'np_likeness_score': '2.46', 'num_ro5_violations': 0, 'psa': '116.45', 'qed_weighted': '0.45', 'ro3_pass': 'N', 'rtb': 7}",4.166215625343521
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL2011403,nM,16900.0,uM,16.9,"{'alogp': '4.43', 'aromatic_rings': 2, 'full_molformula': 'C26H30O8', 'full_mwt': '470.52', 'hba': 8, 'hbd': 5, 'heavy_atoms': 34, 'mw_freebase': '470.52', 'np_likeness_score': '2.51', 'num_ro5_violations': 0, 'psa': '136.68', 'qed_weighted': '0.37', 'ro3_pass': 'N', 'rtb': 7}",4.772113295386326
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL2011404,nM,94500.0,uM,94.5,"{'alogp': '5.75', 'aromatic_rings': 2, 'full_molformula': 'C26H30O6', 'full_mwt': '438.52', 'hba': 6, 'hbd': 3, 'heavy_atoms': 32, 'mw_freebase': '438.52', 'np_likeness_score': '2.18', 'num_ro5_violations': 1, 'psa': '96.22', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 7}",4.024568191490737
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL253152,nM,149500.0,uM,149.5,"{'alogp': '5.75', 'aromatic_rings': 2, 'full_molformula': 'C26H30O6', 'full_mwt': '438.52', 'hba': 6, 'hbd': 3, 'heavy_atoms': 32, 'mw_freebase': '438.52', 'np_likeness_score': '2.20', 'num_ro5_violations': 1, 'psa': '96.22', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 7}",3.8253588073395517
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL2011405,nM,30100.0,uM,30.1,"{'alogp': '5.46', 'aromatic_rings': 2, 'full_molformula': 'C26H30O7', 'full_mwt': '454.52', 'hba': 7, 'hbd': 4, 'heavy_atoms': 33, 'mw_freebase': '454.52', 'np_likeness_score': '2.32', 'num_ro5_violations': 1, 'psa': '116.45', 'qed_weighted': '0.41', 'ro3_pass': 'N', 'rtb': 7}",4.521433504406157
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL374130,nM,120500.0,uM,120.5,"{'alogp': '5.75', 'aromatic_rings': 2, 'full_molformula': 'C25H28O5', 'full_mwt': '408.49', 'hba': 5, 'hbd': 3, 'heavy_atoms': 30, 'mw_freebase': '408.49', 'np_likeness_score': '2.29', 'num_ro5_violations': 1, 'psa': '86.99', 'qed_weighted': '0.53', 'ro3_pass': 'N', 'rtb': 6}",3.919012953089113
Mixed type inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate by Lineweaver-Burk double-reciprocal-plot and dixon plot analysis,CHEMBL2010757,CHEMBL223256,nM,8400.0,uM,8.4,"{'alogp': '5.45', 'aromatic_rings': 2, 'full_molformula': 'C25H28O6', 'full_mwt': '424.49', 'hba': 6, 'hbd': 4, 'heavy_atoms': 31, 'mw_freebase': '424.49', 'np_likeness_score': '2.31', 'num_ro5_violations': 1, 'psa': '107.22', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 6}",5.075720713938118
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL1256415,nM,6340.0,nM,6340.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C14H16N2O', 'full_mwt': '228.29', 'hba': 3, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '228.29', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '48.14', 'qed_weighted': '0.82', 'ro3_pass': 'Y', 'rtb': 1}",5.1979107421182675
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL1256415,nM,2090.0,nM,2090.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C14H16N2O', 'full_mwt': '228.29', 'hba': 3, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '228.29', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '48.14', 'qed_weighted': '0.82', 'ro3_pass': 'Y', 'rtb': 1}",5.679853713888946
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL1256415,nM,2090.0,uM,2.09,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C14H16N2O', 'full_mwt': '228.29', 'hba': 3, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '228.29', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '48.14', 'qed_weighted': '0.82', 'ro3_pass': 'Y', 'rtb': 1}",5.679853713888946
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL1256415,nM,6340.0,uM,6.34,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C14H16N2O', 'full_mwt': '228.29', 'hba': 3, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '228.29', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '48.14', 'qed_weighted': '0.82', 'ro3_pass': 'Y', 'rtb': 1}",5.1979107421182675
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL1677,nM,101.0,nM,101.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H15ClN2', 'full_mwt': '234.73', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.995678626217358
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL1677,nM,225.0,nM,225.0,"{'alogp': '2.70', 'aromatic_rings': 2, 'full_molformula': 'C13H15ClN2', 'full_mwt': '234.73', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '198.27', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.71', 'ro3_pass': 'Y', 'rtb': 0}",6.647817481888637
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064470,nM,24.7,nM,24.7,"{'alogp': '4.67', 'aromatic_rings': 3, 'full_molformula': 'C29H39N5', 'full_mwt': '457.67', 'hba': 5, 'hbd': 1, 'heavy_atoms': 34, 'mw_freebase': '457.67', 'np_likeness_score': '-1.35', 'num_ro5_violations': 0, 'psa': '34.64', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 9}",7.607303046740334
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064470,nM,80.0,nM,80.0,"{'alogp': '4.67', 'aromatic_rings': 3, 'full_molformula': 'C29H39N5', 'full_mwt': '457.67', 'hba': 5, 'hbd': 1, 'heavy_atoms': 34, 'mw_freebase': '457.67', 'np_likeness_score': '-1.35', 'num_ro5_violations': 0, 'psa': '34.64', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 9}",7.096910013008056
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064468,nM,47.6,nM,47.6,"{'alogp': '4.80', 'aromatic_rings': 2, 'full_molformula': 'C29H45N5', 'full_mwt': '463.71', 'hba': 5, 'hbd': 1, 'heavy_atoms': 34, 'mw_freebase': '463.71', 'np_likeness_score': '-1.30', 'num_ro5_violations': 0, 'psa': '34.64', 'qed_weighted': '0.58', 'ro3_pass': 'N', 'rtb': 9}",7.3223930472795065
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064468,nM,10.3,nM,10.3,"{'alogp': '4.80', 'aromatic_rings': 2, 'full_molformula': 'C29H45N5', 'full_mwt': '463.71', 'hba': 5, 'hbd': 1, 'heavy_atoms': 34, 'mw_freebase': '463.71', 'np_likeness_score': '-1.30', 'num_ro5_violations': 0, 'psa': '34.64', 'qed_weighted': '0.58', 'ro3_pass': 'N', 'rtb': 9}",7.987162775294828
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064466,nM,85.5,nM,85.5,"{'alogp': '4.20', 'aromatic_rings': 3, 'full_molformula': 'C29H37N5O', 'full_mwt': '471.65', 'hba': 5, 'hbd': 1, 'heavy_atoms': 35, 'mw_freebase': '471.65', 'np_likeness_score': '-1.49', 'num_ro5_violations': 0, 'psa': '51.71', 'qed_weighted': '0.53', 'ro3_pass': 'N', 'rtb': 8}",7.068033885271827
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064466,nM,13.7,nM,13.7,"{'alogp': '4.20', 'aromatic_rings': 3, 'full_molformula': 'C29H37N5O', 'full_mwt': '471.65', 'hba': 5, 'hbd': 1, 'heavy_atoms': 35, 'mw_freebase': '471.65', 'np_likeness_score': '-1.49', 'num_ro5_violations': 0, 'psa': '51.71', 'qed_weighted': '0.53', 'ro3_pass': 'N', 'rtb': 8}",7.863279432843593
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064465,nM,3.73,nM,3.73,"{'alogp': '4.71', 'aromatic_rings': 2, 'full_molformula': 'C30H45N5O', 'full_mwt': '491.72', 'hba': 5, 'hbd': 1, 'heavy_atoms': 36, 'mw_freebase': '491.72', 'np_likeness_score': '-1.51', 'num_ro5_violations': 0, 'psa': '51.71', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 9}",8.428291168191313
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064465,nM,1.35,nM,1.35,"{'alogp': '4.71', 'aromatic_rings': 2, 'full_molformula': 'C30H45N5O', 'full_mwt': '491.72', 'hba': 5, 'hbd': 1, 'heavy_atoms': 36, 'mw_freebase': '491.72', 'np_likeness_score': '-1.51', 'num_ro5_violations': 0, 'psa': '51.71', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 9}",8.869666231504993
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064464,nM,0.318,nM,0.318,"{'alogp': '4.32', 'aromatic_rings': 2, 'full_molformula': 'C29H43N5O', 'full_mwt': '477.70', 'hba': 5, 'hbd': 1, 'heavy_atoms': 35, 'mw_freebase': '477.70', 'np_likeness_score': '-1.47', 'num_ro5_violations': 0, 'psa': '51.71', 'qed_weighted': '0.61', 'ro3_pass': 'N', 'rtb': 8}",9.497572880015568
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,CHEMBL2062461,CHEMBL2064464,nM,0.38,nM,0.38,"{'alogp': '4.32', 'aromatic_rings': 2, 'full_molformula': 'C29H43N5O', 'full_mwt': '477.70', 'hba': 5, 'hbd': 1, 'heavy_atoms': 35, 'mw_freebase': '477.70', 'np_likeness_score': '-1.47', 'num_ro5_violations': 0, 'psa': '51.71', 'qed_weighted': '0.61', 'ro3_pass': 'N', 'rtb': 8}",9.42021640338319
